"gage_id"	"nws_id"	"agency"	"station_name"	"domain"	"nwm_v3_calibration"	"headwater_calibration"
"01613900"	"HFDV2"	"USGS"	"HOGUE CREEK NEAR HAYFIELD, VA"	"CONUS"	"true"	"true"
"01615000"	"BYVV2"	"USGS"	"OPEQUON CREEK NEAR BERRYVILLE, VA"	"CONUS"	"true"	"true"
"01616500"	"MBGW2"	"USGS"	"OPEQUON CREEK NEAR MARTINSBURG, WV"	"CONUS"	"true"	"true"
"01606000"	"CABW2"	"USGS"	"N F SOUTH BRANCH POTOMAC RIVER AT CABINS, WV"	"CONUS"	"true"	"true"
"01632000"	"COOV2"	"USGS"	"N F SHENANDOAH RIVER AT COOTES STORE, VA"	"CONUS"	"true"	"true"
"01632900"	"NWMV2"	"USGS"	"SMITH CREEK NEAR NEW MARKET, VA"	"CONUS"	"true"	"true"
"CLV"		"CADWR"	""	"CONUS"	"true"	"true"
"01620500"	"SKVV2"	"USGS"	"NORTH RIVER NEAR STOKESVILLE, VA"	"CONUS"	"true"	"true"
"01636690"	"LVTV2"	"USGS"	"PINEY RUN NEAR LOVETTSVILLE, VA"	"CONUS"	"true"	"true"
"01638480"	"TAYV2"	"USGS"	"CATOCTIN CREEK AT TAYLORSTOWN, VA"	"CONUS"	"true"	"true"
"01639500"	"BRUM2"	"USGS"	"BIG PIPE CREEK AT BRUCEVILLE, MD"	"CONUS"	"true"	"true"
"01643000"	"FDKM2"	"USGS"	"MONOCACY RIVER AT JUG BRIDGE NEAR FREDERICK, MD"	"CONUS"	"false"	"true"
"ICR"		"CADWR"	""	"CONUS"	"true"	"true"
"01634500"	"WCCV2"	"USGS"	"CEDAR CREEK NEAR WINCHESTER, VA"	"CONUS"	"true"	"true"
"01645000"	"DAWM2"	"USGS"	"SENECA CREEK AT DAWSONVILLE, MD"	"CONUS"	"true"	"true"
"01649500"		"USGS"	"NORTHEAST BRANCH ANACOSTIA RIVER AT RIVERDALE, MD"	"CONUS"	"true"	"true"
"JBR"		"CADWR"	""	"CONUS"	"true"	"true"
"01643700"	"MDLV2"	"USGS"	"GOOSE CREEK NEAR MIDDLEBURG, VA"	"CONUS"	"true"	"true"
"01644000"	"LEEV2"	"USGS"	"GOOSE CREEK NEAR LEESBURG, VA"	"CONUS"	"true"	"true"
"01653600"	"PSCM2"	"USGS"	"PISCATAWAY CREEK AT PISCATAWAY, MD"	"CONUS"	"true"	"true"
"01661050"	"CLMM2"	"USGS"	"ST CLEMENTS CREEK NEAR CLEMENTS, MD"	"CONUS"	"true"	"true"
