ID,link_id,rfc,longitd,latitud,snowy,dailyGg,bsnTypN,basnTyp
01365000,6200212,NERFC,-74.4816436767578,41.8716583251953,1,0,regular,3
01413408,1748719,MARFC,-74.6216659545898,42.1457328796387,1,0,regular,3
01434017,4147394,MARFC,-74.5428237915039,41.9226264953613,1,0,regular,3
01571184,4711782,MARFC,-77.3113021850586,40.0304336547852,1,0,regular,3
01493500,4766828,MARFC,-76.0169219970703,39.2780609130859,1,0,regular,3
01387450,6245480,MARFC,-74.111701965332,41.1465263366699,1,0,regular,3
02011460,8520739,MARFC,NA,NA,1,0,regular,3
01581870,11687118,MARFC,-76.7728271484375,39.625846862793,1,0,regular,3
01413500,1748583,MARFC,-74.6541442871094,42.143627166748,1,0,regular,3
01557500,4683152,MARFC,-78.2366027832031,40.6831665039062,1,0,regular,3
01374559,6226948,NERFC,-73.7605895996094,41.4707946777344,1,0,regular,3
01381400,6250096,MARFC,-74.5149383544922,40.8069534301758,1,0,regular,3
01525981,8110727,MARFC,-77.299934387207,42.0781517028809,1,0,regular,3
01552500,8151091,MARFC,-76.5444488525391,41.3533592224121,1,0,regular,3
02011400,8520617,MARFC,-79.8829498291016,38.0360832214355,1,0,regular,3
01396660,9512952,MARFC,-74.967041015625,40.6475296020508,1,0,regular,3
0142400103,2614018,MARFC,-75.2798843383789,42.1681251525879,1,0,regular,3
01451800,4187713,MARFC,-75.6229248046875,40.6387634277344,1,0,regular,3
01567500,4710396,MARFC,-77.4021987915039,40.3726692199707,1,0,regular,3
01545600,8134878,MARFC,-77.6945266723633,41.382682800293,1,0,regular,3
01485500,8401785,MARFC,-75.47119140625,38.2292022705078,0,0,regular,3
01632900,8441303,MARFC,-78.6442337036133,38.6478652954102,1,0,regular,3
01350000,3247466,NERFC,-74.4363327026367,42.3228492736816,1,0,regular,3
01434498,4147396,MARFC,-74.5745697021484,41.9348831176758,1,0,regular,3
01384500,6245518,MARFC,-74.2663497924805,41.1261825561523,1,0,regular,3
01490000,8382361,MARFC,-75.8843688964844,38.5111885070801,0,0,regular,3
02015700,8520749,MARFC,-79.572395324707,38.1994400024414,1,0,regular,3
02024915,8548847,MARFC,-79.2832260131836,37.6996879577637,1,0,regular,3
01411300,9436435,MARFC,-74.8229751586914,39.3061256408691,0,0,regular,3
01591400,11907272,MARFC,-77.0546722412109,39.2573471069336,1,0,regular,3
01330000,22288127,NERFC,-73.9478378295898,43.0410003662109,1,0,regular,3
01467042,4489170,MARFC,-75.0703964233398,40.0919532775879,1,0,flashy,2
01487000,8392898,MARFC,-75.5617370605469,38.7277793884277,0,0,regular,3
01471875,4780921,MARFC,-75.7450332641602,40.3429641723633,1,0,regular,3
01581810,11687020,MARFC,-76.7901992797852,39.6933212280273,1,0,regular,3
