#
#
# US Geological Survey
# retrieved: 2024-08-07 14:14:59 EDT
# URL: https://nwis.waterdata.usgs.gov/nwis/uv
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  site_tp_cd      -- Site type
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  alt_va          -- Altitude of Gage/land surface
#  alt_acy_va      -- Altitude accuracy
#  alt_datum_cd    -- Altitude datum
#  huc_cd          -- Hydrologic unit code
#  drain_area_va   -- Drainage area
#
#
# query started 2024-08-07 14:14:59 EDT
#
# there are 180 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	huc_cd	drain_area_va
USGS	50108000	RIO DESCALABRADO NR LOS LLANOS, PR	ST	18.05024082	-66.42572630	S	NAD83	 220			21010004	12.9
USGS	50110650	RIO JACAGUAS ABV LAGO GUAYABAL	ST	18.11460505	-66.50426930	5	NAD83	 375.19			21010004	13.75
USGS	50110900	RIO TOA VACA ABV LAGO TOA VACA, PR	ST	18.12451570	-66.45739920	S	NAD83	 557.74			21010004	14.2
USGS	50111320	CANAL DE JUANA DIAZ AT PIEDRA AGUZADA NR JUANA DIA	ST-CA	18.03797168	-66.48837199	S	NAD83	 213			21010004	
USGS	50111330	CANAL DE JUANA DIAZ AT PASO SECO NR SANTA ISABEL	ST-CA	18.01234780	-66.38993080	S	NAD83	 131			21010004	
USGS	50111340	CANAL DE JUANA DIAZ AT BO. PENUELAS NR SALINAS, PR	ST-CA	17.99629854	-66.34150460	S	NAD83	 131			21010004	
USGS	50111500	RIO JACAGUAS AT JUANA DIAZ, PR	ST	18.05231572	-66.51064169	S	NAD83	 131			21010004	51.5
USGS	50111750	RIO JACAGUAS BLW QUEBRADA GUANABANA, PR	ST	18.02940810	-66.50739440	S	NAD83	 72.18			21010004	56.32
USGS	50112500	RIO INABON AT REAL ABAJO, PR	ST	18.08449533	-66.56269197	S	NAD83	 423			21010004	9.7
USGS	50113800	RIO CERRILLOS ABV LAGO CERRILLOS NR PONCE, PR	ST	18.11480247	-66.60450610	F	NAD83	 720			21010004	11.9
